"Date","Price","Open","High","Low","Change %"
"May 25, 2017","1.2940","1.2969","1.3013","1.2929","-0.26%"
"May 24, 2017","1.2974","1.2961","1.3000","1.2925","0.09%"
"May 23, 2017","1.2962","1.3000","1.3036","1.2954","-0.29%"
"May 22, 2017","1.3000","1.3007","1.3044","1.2965","-0.27%"
"May 19, 2017","1.3035","1.2936","1.3040","1.2927","0.74%"
"May 18, 2017","1.2939","1.2969","1.3051","1.2893","-0.26%"
"May 17, 2017","1.2973","1.2918","1.2994","1.2907","0.43%"
"May 16, 2017","1.2917","1.2896","1.2958","1.2866","0.19%"
"May 15, 2017","1.2893","1.2888","1.2940","1.2873","0.02%"
"May 12, 2017","1.2891","1.2886","1.2900","1.2843","0.04%"
"May 11, 2017","1.2886","1.2942","1.2953","1.2852","-0.40%"
"May 10, 2017","1.2938","1.2933","1.2989","1.2926","0.02%"
"May 09, 2017","1.2935","1.2944","1.2961","1.2902","-0.04%"
"May 08, 2017","1.2940","1.2981","1.2992","1.2929","-0.32%"
"May 05, 2017","1.2981","1.2920","1.2985","1.2900","0.46%"
"May 04, 2017","1.2921","1.2864","1.2931","1.2830","0.42%"
"May 03, 2017","1.2867","1.2940","1.2953","1.2865","-0.55%"
"May 02, 2017","1.2938","1.2888","1.2943","1.2865","0.40%"
"May 01, 2017","1.2886","1.2951","1.2955","1.2879","-0.50%"
"Apr 28, 2017","1.2951","1.2908","1.2970","1.2889","0.36%"
"Apr 27, 2017","1.2904","1.2846","1.2916","1.2836","0.44%"
"Apr 26, 2017","1.2847","1.2840","1.2864","1.2804","0.05%"
"Apr 25, 2017","1.2841","1.2795","1.2846","1.2772","0.37%"
"Apr 24, 2017","1.2794","1.2842","1.2871","1.2770","-0.15%"
"Apr 21, 2017","1.2813","1.2813","1.2835","1.2759","0.00%"
"Apr 20, 2017","1.2813","1.2782","1.2851","1.2775","0.27%"
"Apr 19, 2017","1.2779","1.2839","1.2862","1.2768","-0.48%"
"Apr 18, 2017","1.2841","1.2569","1.2909","1.2518","2.20%"
"Apr 17, 2017","1.2565","1.2531","1.2599","1.2526","0.33%"
"Apr 14, 2017","1.2524","1.2503","1.2537","1.2500","0.14%"
"Apr 13, 2017","1.2506","1.2537","1.2575","1.2497","-0.27%"
"Apr 12, 2017","1.2540","1.2491","1.2550","1.2479","0.39%"
"Apr 11, 2017","1.2491","1.2412","1.2497","1.2404","0.62%"
"Apr 10, 2017","1.2414","1.2384","1.2432","1.2367","0.33%"
"Apr 07, 2017","1.2373","1.2468","1.2478","1.2363","-0.78%"
"Apr 06, 2017","1.2470","1.2486","1.2508","1.2451","-0.10%"
"Apr 05, 2017","1.2483","1.2440","1.2501","1.2423","0.34%"
"Apr 04, 2017","1.2441","1.2488","1.2496","1.2418","-0.37%"
"Apr 03, 2017","1.2487","1.2540","1.2556","1.2464","-0.50%"
